playerName,sal,pos,team,opp,proj
LeBron James,11400,SF,LAL,LAC,52.12459175999999
Anthony Davis,10400,PF,LAL,LAC,51.92321341
Kawhi Leonard,9500,SF,LAC,LAL,47.63461538
Jrue Holiday,8300,SG,NO,UTA,39.54643032
Rudy Gobert,8200,C,UTA,NO,40.10634843
Lonzo Ball,7900,PG,NO,UTA,32.60701712
Paul George,7400,SG,LAC,LAL,36.36190360000001
Brandon Ingram,7300,SF,NO,UTA,38.81379226
Donovan Mitchell,7200,SG,UTA,NO,36.09538386
Zion Williamson,7100,PF,NO,UTA,33.48571487
Mike Conley,5700,PG,UTA,NO,24.34761847
Joe Ingles,5500,SF,UTA,NO,23.46406174
Derrick Favors,5400,C,NO,UTA,26.4673913
Royce O'Neale,4900,PF,UTA,NO,18.8661546
Kyle Kuzma,4700,PF,LAL,LAC,20.53518564
Ivica Zubac,4500,C,LAC,LAL,20.83906174
JaVale McGee,4400,C,LAL,LAC,19.86557457
Josh Hart,4400,SG,NO,UTA,23.49122807
Jordan Clarkson,4300,SG,UTA,NO,22.70476229
Marcus Morris,4200,PF,LAC,LAL,27.75818093
Danny Green,4100,SG,LAL,LAC,18.65901559
Nicolo Melli,4100,PF,NO,UTA,14.33773631
JR Smith,4000,SG,LAL,LAC,14.37272783
JJ Redick,4000,SG,NO,UTA,21.37037037
Jaxson Hayes,3900,C,NO,UTA,16.98392814
Dwight Howard,3900,C,LAL,LAC,21.21612943
Joakim Noah,3800,C,LAC,LAL,19.52618989
Avery Bradley,3800,SG,LAL,LAC,15.35714286
Tony Bradley,3800,C,UTA,NO,11.87647083
Kenrich Williams,3800,SF,NO,UTA,15.48857073
Reggie Jackson,3800,PG,LAC,LAL,23.08260976
Dion Waiters,3800,SF,LAL,LAC,16.23333359
Kentavious Caldwell-Pope,3700,SG,LAL,LAC,16.82380991
JaMychal Green,3600,PF,LAC,LAL,16.87454501
Markieff Morris,3600,SF,LAL,LAC,17.84230746
Rodney McGruder,3500,SG,LAC,LAL,8.592000122
Talen Horton-Tucker,3500,SG,LAL,LAC,3.0
Amir Coffey,3500,PF,LAC,LAL,4.715384557
Nigel Williams-Goss,3500,PG,UTA,NO,2.388888889
Josh Gray,3500,PG,NO,UTA,1.200000048
Darius Miller,3500,SF,NO,UTA,15.50144892
Mfiondu Kabengele,3500,SF,LAC,LAL,5.683333079
Emmanuel Mudiay,3500,PG,UTA,NO,13.98958333
Nickeil Alexander-Walker,3500,SG,NO,UTA,10.72380938
Juwan Morgan,3500,PF,UTA,NO,2.799999952
Alex Caruso,3500,PG,LAL,LAC,13.59310387
Patrick Patterson,3500,PF,LAC,LAL,8.523529651
Devontae Cacok,3500,PF,LAL,LAC,0.0
Zylan Cheatham,3500,PF,NO,UTA,4.73333327
Frank Jackson,3500,PG,NO,UTA,8.739215926
Jared Dudley,3500,SF,LAL,LAC,4.427500153
Ed Davis,3500,PF,UTA,NO,8.12
Rayjon Tucker,3500,PG,UTA,NO,2.685714177
E'Twaun Moore,3500,SF,NO,UTA,15.09999952
Quinn Cook,3500,PG,LAL,LAC,7.947368421
Jahlil Okafor,3500,C,NO,UTA,16.17142814
Jarrell Brantley,3500,SF,UTA,NO,2.3
Terance Mann,3500,SG,LAC,LAL,5.0742858889999995
Georges Niang,3500,PF,UTA,NO,9.436206686
Kostas Antetokounmpo,3500,PF,LAL,LAC,0.9000000159999999
Sindarius Thornwell,3500,SG,NO,UTA,0.8875000479999926
Landry Shamet,3500,PG,LAC,LAL,15.75531915
Miye Oni,3500,SG,UTA,NO,200.27999999500003
Justin Wright-Foreman,3500,PG,UTA,NO,0.0
Johnathan Motley,3500,PF,LAC,LAL,4.307692308
