playerName,sal,pos,team,opp,proj
Dalvin Cook,9500,RB,MIN,JAX,23.7
Derrick Henry,9200,RB,TEN,CLE,18.4
Davante Adams,9000,WR,GB,PHI,21.3
DK Metcalf,8200,WR,SEA,NYG,18.200000000000003
Keenan Allen,8100,WR,LAC,NE,17.6
DeAndre Hopkins,7800,WR,ARI,LAR,15.8
Nick Chubb,7700,RB,CLE,TEN,14.4
Russell Wilson,7700,QB,SEA,NYG,22.5
A.J. Brown,7600,WR,TEN,CLE,15.1
Kyler Murray,7600,QB,ARI,LAR,20.3
Deshaun Watson,7500,QB,HOU,IND,21.0
Josh Jacobs,7400,RB,LV,NYJ,11.9
Tyler Lockett,7400,WR,SEA,NYG,16.0
James Robinson,7300,RB,JAX,MIN,17.1
Adam Thielen,7300,WR,MIN,JAX,17.1
Aaron Jones,7200,RB,GB,PHI,17.3
Calvin Ridley,7200,WR,ATL,NO,14.7
Will Fuller V,7100,WR,HOU,IND,0.0
Austin Ekeler,7100,RB,LAC,NE,19.0
Alvin Kamara,7000,RB,NO,ATL,15.8
Michael Thomas,7000,WR,NO,ATL,14.9
Alexander Mattison,6900,RB,MIN,JAX,5.3
Justin Jefferson,6900,WR,MIN,JAX,16.6
Justin Herbert,6900,QB,LAC,NE,20.6
Aaron Rodgers,6800,QB,GB,PHI,20.7
Antonio Gibson,6800,RB,WAS,PIT,14.6
Terry McLaurin,6800,WR,WAS,PIT,15.4
Miles Sanders,6700,RB,PHI,GB,14.3
Allen Robinson II,6700,WR,CHI,DET,16.4
Julio Jones,6600,WR,ATL,NO,15.9
D'Andre Swift,6500,RB,DET,CHI,15.5
Ben Roethlisberger,6500,QB,PIT,WAS,17.7
Diontae Johnson,6500,WR,PIT,WAS,14.5
Kirk Cousins,6400,QB,MIN,JAX,17.6
DeVante Parker,6400,WR,MIA,CIN,14.4
Taysom Hill,6300,QB,NO,ATL,18.3
Chase Claypool,6300,WR,PIT,WAS,13.5
Chris Carson,6300,RB,SEA,NYG,14.5
Ryan Tannehill,6200,QB,TEN,CLE,18.6
Jarvis Landry,6200,WR,CLE,TEN,13.5
James Conner,6200,RB,PIT,WAS,7.0
Jamaal Williams,6100,RB,GB,PHI,8.9
Darren Waller,6100,TE,LV,NYJ,15.4
Drew Brees,6100,QB,NO,ATL,0.0
Cooper Kupp,6100,WR,LAR,ARI,15.5
Boston Scott,6000,RB,PHI,GB,6.7
Kenny Golladay,6000,WR,DET,CHI,11.4
Ryan Fitzpatrick,6000,QB,MIA,CIN,13.5
Joe Mixon,6000,RB,CIN,MIA,0.0
Philip Rivers,5900,QB,IND,HOU,16.5
Latavius Murray,5900,RB,NO,ATL,9.0
Tua Tagovailoa,5900,QB,MIA,CIN,9.4
Myles Gaskin,5900,RB,MIA,CIN,11.4
Robert Woods,5900,WR,LAR,ARI,16.6
Duke Johnson,5800,RB,HOU,IND,11.1
Derek Carr,5800,QB,LV,NYJ,17.2
JuJu Smith-Schuster,5800,WR,PIT,WAS,13.1
Jared Goff,5800,QB,LAR,ARI,16.8
Cam Newton,5800,QB,NE,LAC,17.3
Jonathan Taylor,5700,RB,IND,HOU,12.3
Jameis Winston,5700,QB,NO,ATL,0.7
Matthew Stafford,5700,QB,DET,CHI,14.5
