playerName,sal,pos,team,opp,proj
Davante Adams,9000,WR,GB,JAX,29.58
Christian McCaffrey,9000,RB,CAR,TB,30.13
Alvin Kamara,8200,RB,NO,SF,26.82
Kyler Murray,8000,QB,ARI,BUF,31.44
Aaron Rodgers,7900,QB,GB,JAX,24.83
Russell Wilson,7700,QB,SEA,LAR,31.64
DeAndre Hopkins,7700,WR,ARI,BUF,20.3
DK Metcalf,7600,WR,SEA,LAR,22.6
Josh Allen,7500,QB,BUF,ARI,26.62
Stefon Diggs,7500,WR,BUF,ARI,19.37
Michael Thomas,7400,WR,NO,SF,7.4
Aaron Jones,7100,RB,GB,JAX,21.82
Keenan Allen,7100,WR,LAC,MIA,19.89
Cooper Kupp,6900,WR,LAR,SEA,15.12
Deshaun Watson,6900,QB,HOU,CLE,24.47
James Conner,6900,RB,PIT,CIN,15.41
Terry McLaurin,6800,WR,WAS,DET,18.31
Nick Chubb,6800,RB,CLE,HOU,16.8
Kareem Hunt,6700,RB,CLE,HOU,15.52
Will Fuller V,6700,WR,HOU,CLE,17.88
George Kittle,6600,TE,SF,NO,17.35
James Robinson,6600,RB,JAX,GB,19.56
Robert Woods,6600,WR,LAR,SEA,16.18
Justin Herbert,6600,QB,LAC,MIA,26.92
Josh Jacobs,6500,RB,LV,DEN,16.04
Jared Goff,6500,QB,LAR,SEA,19.6
Tyler Lockett,6500,WR,SEA,LAR,20.31
Drew Brees,6400,QB,NO,SF,20.75
Miles Sanders,6400,RB,PHI,NYG,16.9
Travis Fulgham,6400,WR,PHI,NYG,19.9
Tyler Boyd,6400,WR,CIN,PIT,17.6
Chase Edmonds,6300,RB,ARI,BUF,11.95
Tom Brady,6300,QB,TB,CAR,20.72
Mike Evans,6300,WR,TB,CAR,13.97
DJ Chark Jr.,6200,WR,JAX,GB,14.81
Chris Carson,6200,RB,SEA,LAR,17.5
Ben Roethlisberger,6200,QB,PIT,CIN,19.34
Teddy Bridgewater,6100,QB,CAR,TB,19.4
Robby Anderson,6100,WR,CAR,TB,16.82
Joe Mixon,6100,RB,CIN,PIT,17.27
JuJu Smith-Schuster,6100,WR,PIT,CIN,14.36
Baker Mayfield,6000,QB,CLE,HOU,15.01
Boston Scott,6000,RB,PHI,NYG,5.82
Chris Godwin,6000,WR,TB,CAR,14.4
Kenny Golladay,5900,WR,DET,WAS,14.36
Darren Waller,5900,TE,LV,DEN,14.42
Darrell Henderson Jr.,5900,RB,LAR,SEA,11.85
Jarvis Landry,5900,WR,CLE,HOU,10.19
Carson Wentz,5900,QB,PHI,NYG,21.32
Matthew Stafford,5800,QB,DET,WAS,18.6
Antonio Brown,5800,WR,TB,CAR,6.1
Chase Claypool,5800,WR,PIT,CIN,15.24
Myles Gaskin,5800,RB,MIA,LAC,14.21
Raheem Mostert,5700,RB,SF,NO,17.08
Brandon Aiyuk,5700,WR,SF,NO,14.14
Christian Kirk,5700,WR,ARI,BUF,14.61
Joe Burrow,5700,QB,CIN,PIT,21.61
Antonio Gibson,5600,RB,WAS,DET,13.79
Jerry Jeudy,5600,WR,DEN,LV,11.68
Jerick McKinnon,5600,RB,SF,NO,11.49
Brandin Cooks,5600,WR,HOU,CLE,13.62
Tua Tagovailoa,5600,QB,MIA,LAC,9.5
Drew Lock,5500,QB,DEN,LV,14.57
Gardner Minshew II,5500,QB,JAX,GB,21.2
Leonard Fournette,5500,RB,TB,CAR,12.27
Tee Higgins,5500,WR,CIN,PIT,15.09
Derek Carr,5400,QB,LV,DEN,19.24
Deebo Samuel,5400,WR,SF,NO,10.48
Jake Luton,5400,QB,JAX,GB,25.46
David Johnson,5400,RB,HOU,CLE,11.99
Giovani Bernard,5400,RB,CIN,PIT,10.16
Mike Williams,5400,WR,LAC,MIA,11.91
Nick Mullens,5300,QB,SF,NO,12.5
Jimmy Garoppolo,5300,QB,SF,NO,11.56
John Brown,5300,WR,BUF,ARI,9.49
Ronald Jones II,5300,RB,TB,CAR,13.62
Ryan Fitzpatrick,5300,QB,MIA,LAC,22.65
Tyrod Taylor,5300,QB,LAC,MIA,4.51
Austin Ekeler,5300,RB,LAC,MIA,15.55
Alex Smith,5200,QB,WAS,DET,9.29
Marvin Jones Jr.,5200,WR,DET,WAS,9.98
Melvin Gordon III,5200,RB,DEN,LV,14.0
C.J. Beathard,5200,QB,SF,NO,6.14
Zack Moss,5200,RB,BUF,ARI,9.92
Daniel Jones,5200,QB,NYG,PHI,14.24
Diontae Johnson,5200,WR,PIT,CIN,11.47
D'Andre Swift,5100,RB,DET,WAS,13.09
T.J. Hockenson,5100,TE,DET,WAS,12.75
Jameis Winston,5100,QB,NO,SF,0.18
DeeJay Dallas,5100,RB,SEA,LAR,8.56
DJ Moore,5100,WR,CAR,TB,13.33
Chase Daniel,5000,QB,DET,WAS,7.26
Dwayne Haskins Jr.,5000,QB,WAS,DET,15.14
Phillip Lindsay,5000,RB,DEN,LV,8.68
Case Keenum,5000,QB,CLE,HOU,1.84
Duke Johnson,5000,RB,HOU,CLE,6.57
Sterling Shepard,5000,WR,NYG,PHI,12.24
Kalen Ballage,5000,RB,LAC,MIA,8.35
DeVante Parker,5000,WR,MIA,LAC,12.51
J.D. McKissic,4900,RB,WAS,DET,9.32
Nelson Agholor,4900,WR,LV,DEN,10.59
Tim Patrick,4900,WR,DEN,LV,12.76
Noah Fant,4900,TE,DEN,LV,11.56
Kenyan Drake,4900,RB,ARI,BUF,12.59
Curtis Samuel,4900,WR,CAR,TB,14.01
Kyle Allen,4800,QB,WAS,DET,11.75
JaMycal Hasty,4800,RB,SF,NO,4.7
Emmanuel Sanders,4800,WR,NO,SF,14.2
AJ McCarron,4800,QB,HOU,CLE,0.0
Darius Slayton,4800,WR,NYG,PHI,11.67
Malcolm Brown,4700,RB,LAR,SEA,8.91
Cole Beasley,4700,WR,BUF,ARI,12.81
P.J. Walker,4700,QB,CAR,TB,0.12
Rob Gronkowski,4700,TE,TB,CAR,8.59
Justin Jackson,4700,RB,LAC,MIA,9.32
Taysom Hill,4600,QB,NO,SF,5.24
Jared Cook,4600,TE,NO,SF,10.27
Mike Glennon,4600,QB,JAX,GB,0.0
Rashard Higgins,4600,WR,CLE,HOU,8.94
Devonta Freeman,4600,RB,NYG,PHI,7.2
Marcus Mariota,4500,QB,LV,DEN,0.0
Henry Ruggs III,4500,WR,LV,DEN,7.37
Carlos Hyde,4500,RB,SEA,LAR,8.48
Wayne Gallman Jr.,4500,RB,NYG,PHI,8.43
Evan Engram,4500,TE,NYG,PHI,9.26
