playerName,sal,pos,team,opp,proj
Christian McCaffrey,9500,RB,CAR,KC,12.44999981
Patrick Mahomes,9300,QB,KC,CAR,26.01250076
Dalvin Cook,9300,RB,MIN,DET,25.81666565
Russell Wilson,9000,QB,SEA,BUF,30.29142761
Derrick Henry,8900,RB,TEN,CHI,19.80000087
DeAndre Hopkins,8800,WR,ARI,MIA,16.41428593
Kyler Murray,8600,QB,ARI,MIA,28.94000026
Tyreek Hill,8300,WR,KC,CAR,15.57499981
Deshaun Watson,8300,QB,HOU,JAC,22.78571429
James Conner,8200,RB,PIT,DAL,14.47142901
Josh Allen,8200,QB,BUF,SEA,23.07250023
Julio Jones,8200,WR,ATL,DEN,14.90000025
DK Metcalf,8100,WR,SEA,BUF,18.0
Lamar Jackson,8100,QB,BAL,IND,20.68857247
Calvin Ridley,8000,WR,ATL,DEN,15.82499981
Travis Kelce,8000,TE,KC,CAR,14.875
Ezekiel Elliott,8000,RB,DAL,PIT,15.13749981
Justin Herbert,7900,QB,LAC,LV,25.33333333
Mike Davis,7800,RB,CAR,KC,14.34285736
Josh Jacobs,7700,RB,LV,LAC,14.5
Ben Roethlisberger,7700,QB,PIT,DAL,17.67428589
Adam Thielen,7700,WR,MIN,DET,15.31428528
A.J. Brown,7600,WR,TEN,CHI,15.81999969
Matt Ryan,7600,QB,ATL,DEN,19.28499985
Stefon Diggs,7600,WR,BUF,SEA,14.3125
Chris Carson,7600,RB,SEA,BUF,15.66666667
Matthew Stafford,7500,QB,DET,MIN,18.76285662
Keenan Allen,7500,WR,LAC,LV,13.90000044
Tyler Lockett,7400,WR,SEA,BUF,17.71428571
Ryan Tannehill,7400,QB,TEN,CHI,22.08857073
James Robinson,7300,RB,JAC,HOU,17.15714264
Teddy Bridgewater,7300,QB,CAR,KC,17.04249954
Kenny Golladay,7300,WR,DET,MIN,11.15999985
Drew Lock,7200,QB,DEN,ATL,10.63600006
Terry McLaurin,7200,WR,WAS,NYG,13.07142857
Will Fuller V,7100,WR,HOU,JAC,13.5
Kirk Cousins,7100,QB,MIN,DET,16.12857165
Amari Cooper,7000,WR,DAL,PIT,12.51249981
Gardner Minshew II,7000,QB,JAC,HOU,19.41428484
DJ Moore,7000,WR,CAR,KC,12.08749962
Clyde Edwards-Helaire,7000,RB,KC,CAR,12.76249981
Derek Carr,7000,QB,LV,LAC,18.41142927
Daniel Jones,6900,QB,NYG,WAS,13.90499973
Todd Gurley II,6900,RB,ATL,DEN,14.41250038
Philip Rivers,6900,QB,IND,BAL,15.45714242
Allen Robinson II,6900,WR,CHI,TEN,13.25
David Johnson,6800,RB,HOU,JAC,12.18571472
Nick Foles,6800,QB,CHI,TEN,14.55666606
Justin Jefferson,6800,WR,MIN,DET,13.11428615
Kyle Allen,6800,QB,WAS,NYG,14.50666682
Chase Edmonds,6700,RB,ARI,MIA,10.11428615
Tua Tagovailoa,6700,QB,MIA,ARI,2.460000038
Mark Andrews,6600,TE,BAL,IND,9.857142857000001
Melvin Gordon III,6600,RB,DEN,ATL,11.25714329
Robby Anderson,6600,WR,CAR,KC,12.57499981
Andy Dalton,6600,QB,DAL,PIT,4.769999981000001
Ben DiNucci,6600,QB,DAL,PIT,2.320000013
Austin Ekeler,6500,RB,LAC,LV,10.74000015
JuJu Smith-Schuster,6500,WR,PIT,DAL,10.58571407
Jake Luton,6500,QB,JAC,HOU,0.0
Mike Glennon,6500,QB,JAC,HOU,0.0
Darren Waller,6400,TE,LV,LAC,10.81428528
Dwayne Haskins Jr.,6400,QB,WAS,NYG,11.11200027
Ryan Fitzpatrick,6400,QB,MIA,ARI,21.06666692
Jonathan Taylor,6400,RB,IND,BAL,11.85714286
DJ Chark Jr.,6400,WR,JAC,HOU,10.01666641
Mitchell Trubisky,6400,QB,CHI,TEN,8.733333587999999
Tyrod Taylor,6300,QB,LAC,LV,4.510000229
Chase Claypool,6300,WR,PIT,DAL,13.0142855
Garrett Gilbert,6300,QB,DAL,PIT,0.0
DeVante Parker,6300,WR,MIA,ARI,9.957142421
Antonio Gibson,6200,RB,WAS,NYG,11.90000044
Alex Smith,6200,QB,WAS,NYG,0.7900000209999999
Mike Williams,6200,WR,LAC,LV,9.71666654
Jeff Driskel,6100,QB,DEN,ATL,8.020000458
Marvin Jones Jr.,6100,WR,DET,MIN,7.928571429
Brett Rypien,6100,QB,DEN,ATL,5.100000064
Brandin Cooks,6100,WR,HOU,JAC,10.24285671
Matt Barkley,6100,QB,BUF,SEA,0.879999995
